psraid,internetUse,emailUse,internetYest,facebookUse,myspaceUse,linkedinUse,profileUse,twitterUse,payMusic,payVideo,payPhoto,payNews,payEbook,payGame,payRingtone,paySoftware,payApp,payAmount,payAmountMonth,household,emp,parent,sex,age,educ,race,inc,iphoneUse,twitterCheckFreq
100001,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,,5,3,1,2,2,19,5,6,7,2,7
100015,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,69,5,1,6,2,
100019,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,80,6,1,99,2,
100021,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,,0,2,1,2,1,26,3,1,4,2,
100023,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,1,2,1,67,7,1,9,2,
100025,2,2,,,,,,,,,,,,,,,,,,1,5,2,1,72,1,1,1,1,
100026,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,995,0,2,3,2,2,59,5,4,6,2,
100029,1,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,100,20,2,1,2,2,57,7,1,99,2,
100032,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,3,2,1,64,7,1,99,1,
100035,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,72,6,1,99,2,
100051,1,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,500,3,2,1,2,1,60,7,1,9,2,
100056,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,78,7,1,4,2,
100059,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,,0,1,1,1,2,41,7,1,8,2,
100067,2,2,,,,,,,,,,,,,,,,,,2,2,1,1,23,5,6,1,1,
100082,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,50,0,3,3,2,1,58,7,1,9,2,7
100086,2,2,,,,,,,,,,,,,,,,,,1,4,2,2,72,1,1,99,1,
100100,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,99,5,9,99,2,
100113,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,,1500,2,4,1,2,23,3,2,3,2,
100119,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,1,3,2,1,62,6,6,9,2,
100124,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,,10,4,1,1,2,28,4,1,2,2,
100152,2,2,,,,,,,,,,,,,,,,,,2,5,2,1,70,3,9,99,1,
100156,1,1,1,2,8,2,2,2,1,2,2,2,2,2,2,2,2,,9998,2,3,2,2,71,3,1,3,2,
100168,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,5,4,1,2,2,58,6,1,6,2,
100171,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,83,3,2,2,2,
100174,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,84,3,1,2,2,
100182,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,1,68,3,1,2,1,
100184,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,4,2,2,1,20,3,1,3,2,7
100188,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,,,2,2,2,2,27,5,1,2,2,6
100189,2,2,,,,,,,,,,,,,,,,,,3,2,2,1,53,3,2,3,2,
100195,2,2,,,,,,,,,,,,,,,,,,1,4,2,2,85,2,1,1,1,
100200,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,0,3,3,2,2,64,3,1,4,2,
100207,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,1,2,2,2,19,5,1,1,2,
100208,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,120,0,1,1,2,1,44,3,1,5,2,
100209,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,75,3,1,99,2,
100210,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,0,2,1,2,2,53,2,2,2,2,
100216,1,1,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,9998,25,2,2,2,2,25,7,1,2,2,
100218,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,0,0,2,1,1,1,31,6,1,4,2,
100226,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,9,1,9,2,22,7,9,99,2,
100228,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,0,3,3,2,2,77,5,4,5,2,
100242,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,,0,2,1,1,2,36,6,2,8,2,7
100245,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,1,2,2,99,5,1,99,2,
100246,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,100,9998,1,3,2,2,99,5,1,6,2,
100254,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,,,2,3,2,2,68,2,1,2,2,1
100259,2,2,,,,,,,,,,,,,,,,,,2,7,2,2,62,2,1,7,2,
100261,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,80,7,1,99,1,
100262,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,20,4,2,1,2,1,55,5,2,6,2,
100271,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,39,7,1,7,1,
100276,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,65,6,1,4,2,
100283,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,99,9,1,99,2,
100287,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,68,3,1,3,1,
100288,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,71,6,1,7,2,
100292,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,4,1,2,1,21,5,1,4,2,7
100295,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,,10,1,3,2,1,40,3,5,4,1,
100298,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,1,2,1,57,5,1,99,2,
100299,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,66,2,1,3,2,
100300,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,2,30,2,2,1,1,2,28,7,1,9,2,4
100316,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,,0,2,3,2,2,50,5,1,6,2,
100318,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,,20,2,2,2,2,80,7,1,8,2,
100325,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,35,5,1,1,1,
100327,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,,300,2,1,1,1,45,6,1,6,2,
100329,2,2,,,,,,,,,,,,,,,,,,5,3,2,1,78,3,1,1,1,
100333,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,3,3,2,2,70,5,1,4,2,
100335,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,75,3,1,1,2,
100339,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,75,3,1,3,2,
100363,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,48,3,2,2,1,
100370,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,100,10,1,1,1,2,53,6,1,99,2,7
100373,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,63,6,2,3,1,
